"#","Application.Term","GPA.2145","GPA.2155","GPA.2165","GPA.2175","GPA.2185","cgpa","Current.Program","Total","Total.English","Math.Placement.Exam.Score","Physics.Placement.Score","SAT.Reading","SAT.Writing","SAT.Math","SAT.Total","Transcripts","Description/Qualification.(G12,.IGCSE,.AS,.A.Level,.Uni,.etc)","Curriculum","English","EnglishGrade","math","MathGrade","Physics","PhysicsGrade","Grit_1","Grit_2","Grit_3","Grit_4","Grit_5","Grit_6","Grit_7","Grit_8","Grit_9","Grit_10","Grit_11","Grit_12","SelfControl_1","SelfControl_2","SelfControl_3","SelfControl_4","SelfControl_5","SelfControl_6","SelfControl_7","SelfControl_8","SelfControl_9","SelfControl_10"
1,2151,0,2.1,2.25,2.42,2.42,2.42,"Bachelor of Science in Mechanical Engineering",6.5,"6.5",16,21,410,400,500,1310,"G10-11, G12CBSE","CBSE, MIGRATION","Indian","95",0,"40",0,"72",0,"Mostly like me","Mostly like me","Somewhat like me","Mostly like me","Somewhat like me","Mostly like me","Not much like me","Not much like me","Mostly like me","Not much like me","Somewhat like me","Mostly like me","Mostly like me","Somewhat like me","Somewhat like me","Mostly like me","Somewhat like me","Somewhat like me","Mostly like me","Somewhat like me","Not much like me","Not much like me"
2,2171,0,0,0,3.87,3.81,3.81,"Bachelor of Science in Mechanical Engineering",7,"7",20,17,640,640,700,1980,"Y","Y","MOE","90",0,"89",0,"86",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2161,0,0,2.82,2.75,2.7,2.7,"Bachelor of Science in Mechanical Engineering",7,"7",14,9,430,440,460,1330,"G10, G11, G12","G10, G11, G12","American","85",0,"67",0,"87",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2145,2.78,2.58,2.68,2.73,2.76,2.76,"Bachelor of Science in Mechanical Engineering",6,"6 Exmpt-WS",12,12,NA,NA,NA,NA,"Y","G12, Diploma","Others","76",3,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2145,2.6,2.49,2.62,2.6,2.57,2.57,"Bachelor of Science in Mechanical Engineering",6.5,"80",25,18,NA,NA,NA,NA,"Y","G12, Diploma","Others","20/20",4,"20/20",4,"19/20",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2161,0,0,3.7,3.66,3.73,3.73,"Bachelor of Science in Industrial Engineering",7,"7",23,20,420,450,620,1490,"G9, G10, G11","G9, G10, G11","American","90",0,"96",0,"97",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2161,0,0,2.99,2.99,2.99,2.99,"Bachelor of Science in Industrial Engineering",8,"106",18,14,NA,NA,NA,NA,"Y","Y","American","89",0,"88",0,"93",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2151,0,1.98,0,2.77,2.64,2.64,"Bachelor of Science in Mechanical Engineering",6.5,"527/ 6.5",3,10,NA,NA,NA,NA,"G10-12","G12, Equivalence","Others","19/20",4,"14.5/20",3,"16/20",4,"Very much like me","Somewhat like me","Mostly like me","Mostly like me","Somewhat like me","Mostly like me","Somewhat like me","Somewhat like me","Not much like me","Not much like me","Mostly like me","Somewhat like me","Somewhat like me","Not much like me","Mostly like me","Mostly like me","Somewhat like me","Somewhat like me","Somewhat like me","Somewhat like me","Somewhat like me","Mostly like me"
9,2141,2.65,2.61,2.37,0,0,2.37,"Bachelor of Science in Mechanical Engineering",6.5,"6.5",15,14,NA,NA,NA,NA,"Y","G12, Diploma","American","96.5",0,"94.5",0,"90.5",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2141,3.2,3.45,3.47,3.45,3.36,3.36,"Bachelor of Science in Mechanical Engineering",6.5,"6.5",21,14,NA,NA,NA,NA,"IGCSE/AS,A LEVEL","IGCSE, AS Level","British","B",0,"B",0,"B",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2175,0,0,0,3.14,3.1,3.1,"Bachelor of Science in Electrical Engineering",5.5,"1275/ 5.5",8,9,NA,NA,NA,NA,"G10, G11, G12","G10, G11, G12","MOE","86",0,"77.400000000000006",0,"83.6",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,2165,0,0,2.5,2.55,2.3,2.3,"Bachelor of Science in Mechanical Engineering",7,"7",10,12,NA,NA,NA,NA,"Y","Y","British","C",0,"C",0,"C",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
